sourceId,sku,name,qtyBox,qtyPcs,srcLoc,destLoc,trip,expDate,ean,alloc_batch_id,alloc_timestamp
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL212,6/27-1,2027/06/19,4712834456439,BATCH_00001,2026-06-26 14:36:49
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL213,6/27-1,2027/06/19,4712834456439,BATCH_00002,2026-06-26 14:36:49
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL214,6/27-1,2027/06/19,4712834456439,BATCH_00003,2026-06-26 14:36:49
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL222,6/27-1,2027/06/19,4712834456439,BATCH_00004,2026-06-26 14:36:49
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL223,6/27-1,2027/06/19,4712834456439,BATCH_00005,2026-06-26 14:36:49
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL224,6/27-1,2027/06/19,4712834456439,BATCH_00006,2026-06-26 14:36:49
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL232,6/27-1,2027/06/19,4712834456439,BATCH_00007,2026-06-26 14:36:49
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL233,6/27-1,2027/06/19,4712834456439,BATCH_00008,2026-06-26 14:36:49
,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,42,672,,BL234,6/27-1,2027/06/19,4712834456439,BATCH_00009,2026-06-26 14:36:49
,BT0051,樂天小熊餅-家庭號草莓風味195g,34,348,,BN264,6/27-1,2027/03/23,58852008300296,BATCH_00010,2026-06-26 14:36:49
,BT0051,樂天小熊餅-家庭號草莓風味195g,48,480,,BM222,6/27-1,2027/03/23,58852008300296,BATCH_00011,2026-06-26 14:36:49
,BT0051,樂天小熊餅-家庭號草莓風味195g,48,480,,BM223,6/27-1,2027/03/23,58852008300296,BATCH_00012,2026-06-26 14:36:49
,BT0052,樂天小熊餅-家庭號牛奶風味195g,41,416,,BF184,6/27-1,2027/04/09,58852008300982,BATCH_00013,2026-06-26 14:36:49
,BT0052,樂天小熊餅-家庭號牛奶風味195g,48,480,,BM224,6/27-1,2027/04/09,58852008300982,BATCH_00014,2026-06-26 14:36:49
,BT0052,樂天小熊餅-家庭號牛奶風味195g,48,480,,BM232,6/27-1,2027/04/09,58852008300982,BATCH_00015,2026-06-26 14:36:49
,BT0052,樂天小熊餅-家庭號牛奶風味195g,48,480,,BM233,6/27-1,2027/04/09,58852008300982,BATCH_00016,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,30,1440,,BJ193,6/27-1,2027/05/16,58852008300203,BATCH_00017,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK084,6/27-1,2027/07/22,58852008300203,BATCH_00018,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK092,6/27-1,2027/07/22,58852008300203,BATCH_00019,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK093,6/27-1,2027/07/22,58852008300203,BATCH_00020,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK094,6/27-1,2027/07/22,58852008300203,BATCH_00021,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK102,6/27-1,2027/05/16,58852008300203,BATCH_00022,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK103,6/27-1,2027/05/16,58852008300203,BATCH_00023,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK104,6/27-1,2027/05/16,58852008300203,BATCH_00024,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK112,6/27-1,2027/05/16,58852008300203,BATCH_00025,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK113,6/27-1,2027/05/16,58852008300203,BATCH_00026,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK114,6/27-1,2027/06/17,58852008300203,BATCH_00027,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK122,6/27-1,2027/06/06,58852008300203,BATCH_00028,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK123,6/27-1,2027/05/16,58852008300203,BATCH_00029,2026-06-26 14:36:49
,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,BK124,6/27-1,2027/06/06,58852008300203,BATCH_00030,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK132,6/27-1,2027/06/17,58852008300234,BATCH_00031,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK133,6/27-1,2027/06/17,58852008300234,BATCH_00032,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK134,6/27-2,2027/06/17,58852008300234,BATCH_00033,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK142,6/27-2,2027/06/17,58852008300234,BATCH_00034,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK143,6/27-2,2027/06/17,58852008300234,BATCH_00035,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK144,6/27-2,2027/06/17,58852008300234,BATCH_00036,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK152,6/27-2,2027/06/17,58852008300234,BATCH_00037,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK153,6/27-2,2027/06/17,58852008300234,BATCH_00038,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK154,6/27-2,2027/06/17,58852008300234,BATCH_00039,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK162,6/27-2,2027/06/17,58852008300234,BATCH_00040,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK163,6/27-2,2027/06/17,58852008300234,BATCH_00041,2026-06-26 14:36:49
,BT0061,樂天小熊餅－草莓風味37g,45,2160,,BK164,6/27-2,2027/06/17,58852008300234,BATCH_00042,2026-06-26 14:36:49
,BT0062,樂天小熊餅－牛奶風味37g,30,1464,,BJ192,6/27-2,2027/06/05,58852008300784,BATCH_00043,2026-06-26 14:36:49
,BT0062,樂天小熊餅－牛奶風味37g,40,1920,,BJ154,6/27-2,2027/06/05,58852008300784,BATCH_00044,2026-06-26 14:36:49
,BT0062,樂天小熊餅－牛奶風味37g,45,2160,,BK172,6/27-2,2027/06/05,58852008300784,BATCH_00045,2026-06-26 14:36:49
,BT0062,樂天小熊餅－牛奶風味37g,45,2160,,BK173,6/27-2,2027/06/05,58852008300784,BATCH_00046,2026-06-26 14:36:49
,BT0062,樂天小熊餅－牛奶風味37g,45,2160,,BK174,6/27-2,2027/06/05,58852008300784,BATCH_00047,2026-06-26 14:36:49
,BT0062,樂天小熊餅－牛奶風味37g,45,2160,,BK182,6/27-2,2027/06/05,58852008300784,BATCH_00048,2026-06-26 14:36:49
,BT0062,樂天小熊餅－牛奶風味37g,45,2160,,BK183,6/27-2,2027/06/05,58852008300784,BATCH_00049,2026-06-26 14:36:49
