orderId,destLoc,sku,name,qtyPcs,trip,alloc_batch_id,alloc_timestamp
lotte20260627-1001,BL212,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00001,2026-06-26 14:36:49
lotte20260627-1002,BL213,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00002,2026-06-26 14:36:49
lotte20260627-1003,BL214,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00003,2026-06-26 14:36:49
lotte20260627-1004,BL222,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00004,2026-06-26 14:36:49
lotte20260627-1005,BL223,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00005,2026-06-26 14:36:49
lotte20260627-1006,BL224,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00006,2026-06-26 14:36:49
lotte20260627-1007,BL232,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00007,2026-06-26 14:36:49
lotte20260627-1008,BL233,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00008,2026-06-26 14:36:49
lotte20260627-1009,BL234,BT0044,樂天小熊餅-巧克力風味分享包FOR PX,672,6/27-1,BATCH_00009,2026-06-26 14:36:49
lotte20260627-1010,BN264,BT0051,樂天小熊餅-家庭號草莓風味195g,348,6/27-1,BATCH_00010,2026-06-26 14:36:49
lotte20260627-1011,BM222,BT0051,樂天小熊餅-家庭號草莓風味195g,480,6/27-1,BATCH_00011,2026-06-26 14:36:49
lotte20260627-1012,BM223,BT0051,樂天小熊餅-家庭號草莓風味195g,480,6/27-1,BATCH_00012,2026-06-26 14:36:49
lotte20260627-1013,BF184,BT0052,樂天小熊餅-家庭號牛奶風味195g,416,6/27-1,BATCH_00013,2026-06-26 14:36:49
lotte20260627-1014,BM224,BT0052,樂天小熊餅-家庭號牛奶風味195g,480,6/27-1,BATCH_00014,2026-06-26 14:36:49
lotte20260627-1015,BM232,BT0052,樂天小熊餅-家庭號牛奶風味195g,480,6/27-1,BATCH_00015,2026-06-26 14:36:49
lotte20260627-1016,BM233,BT0052,樂天小熊餅-家庭號牛奶風味195g,480,6/27-1,BATCH_00016,2026-06-26 14:36:49
lotte20260627-1017,BJ193,BT0060,樂天小熊餅－巧克力風味37g,1440,6/27-1,BATCH_00017,2026-06-26 14:36:49
lotte20260627-1018,BK084,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00018,2026-06-26 14:36:49
lotte20260627-1019,BK092,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00019,2026-06-26 14:36:49
lotte20260627-1020,BK093,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00020,2026-06-26 14:36:49
lotte20260627-1021,BK094,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00021,2026-06-26 14:36:49
lotte20260627-1022,BK102,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00022,2026-06-26 14:36:49
lotte20260627-1023,BK103,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00023,2026-06-26 14:36:49
lotte20260627-1024,BK104,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00024,2026-06-26 14:36:49
lotte20260627-1025,BK112,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00025,2026-06-26 14:36:49
lotte20260627-1026,BK113,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00026,2026-06-26 14:36:49
lotte20260627-1027,BK114,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00027,2026-06-26 14:36:49
lotte20260627-1028,BK122,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00028,2026-06-26 14:36:49
lotte20260627-1029,BK123,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00029,2026-06-26 14:36:49
lotte20260627-1030,BK124,BT0060,樂天小熊餅－巧克力風味37g,2160,6/27-1,BATCH_00030,2026-06-26 14:36:49
lotte20260627-1031,BK132,BT0061,樂天小熊餅－草莓風味37g,2160,6/27-1,BATCH_00031,2026-06-26 14:36:49
lotte20260627-1032,BK133,BT0061,樂天小熊餅－草莓風味37g,2160,6/27-1,BATCH_00032,2026-06-26 14:36:49
lotte20260627-2001,BK134,BT0061,樂天小熊餅－草莓風味37g,2160,6/27-2,BATCH_00033,2026-06-26 14:36:49
lotte20260627-2002,BK142,BT0061,樂天小熊餅－草莓風味37g,2160,6/27-2,BATCH_00034,2026-06-26 14:36:49
lotte20260627-2003,BK143,BT0061,樂天小熊餅－草莓風味37g,2160,6/27-2,BATCH_00035,2026-06-26 14:36:49
lotte20260627-2004,BK144,BT0061,樂天小熊餅－草莓風味37g,2160,6/27-2,BATCH_00036,2026-06-26 14:36:49
lotte20260627-2005,BK152,BT0061,樂天小熊餅－草莓風味37g,2160,6/27-2,BATCH_00037,2026-06-26 14:36:49
