sourceId,sku,name,qtyBox,qtyPcs,srcLoc,destLoc,trip,expDate,ean
A19A1372-0,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,0,480,,,6/23-1,2027/07/20                    ,
A19B1302-0,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,0,480,,,6/23-1,2027/07/20                    ,
A19B1322-0,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,0,480,,,6/23-1,2027/07/20                    ,
A19B1361-0,BT9133,LOTTE TOPPO濃厚巧克力口味夾心餅乾棒40g,0,4320,,,6/23-1,2027/07/08                    ,
B03A0452-0,BT0064,樂天小熊餅－北海道牛奶風味37g,0,960,,,6/23-1,2027/07/29                    ,
B03A0472-0,BT0064,樂天小熊餅－北海道牛奶風味37g,0,2160,,,6/23-1,2027/07/29                    ,
B03A0852-0,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),0,960,,,6/23-1,2027/04/06                    ,
B03A0874-0,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),0,960,,,6/23-1,2027/04/06                    ,
B03A0894-0,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),0,960,,,6/23-1,2027/04/06                    ,
B03A0912-0,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),0,960,,,6/23-1,2027/04/06                    ,
B03A0914-0,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),0,960,,,6/23-1,2027/04/06                    ,
B03B0462-0,BT0064,樂天小熊餅－北海道牛奶風味37g,0,2160,,,6/23-1,2027/07/29                    ,
B03B0463-0,BT0064,樂天小熊餅－北海道牛奶風味37g,0,2160,,,6/23-1,2027/07/29                    ,
B03B0483-0,BT0064,樂天小熊餅－北海道牛奶風味37g,0,2160,,,6/23-1,2027/07/29                    ,
B03B0783-0,BT0065,樂天小熊餅－家庭號巧克力風味195g,0,480,,,6/23-1,2027/06/12                    ,
B03B0784-0,BT0065,樂天小熊餅－家庭號巧克力風味195g,0,480,,,6/23-1,2027/06/12                    ,
B03B0805-0,BT0065,樂天小熊餅－家庭號巧克力風味195g,0,480,,,6/23-1,2027/06/12                    ,
B03B0825-0,BT0065,樂天小熊餅－家庭號巧克力風味195g,0,480,,,6/23-1,2027/06/12                    ,
C07A0114-0,DK9013,LOTTE 檸檬糖65g(罐裝),0,1920,,,6/23-1,2027/03/23                    ,
C11B0244-0,DK9013,LOTTE 檸檬糖65g(罐裝),0,1200,,,6/23-1,2027/04/09                    ,
T06A0434-0,BT0064,樂天小熊餅－北海道牛奶風味37g,0,2160,,,6/23-1,2027/06/26                    ,
