# Generated: 2026-06-19 13:10:22
# Total rows: 187
# Data source: ALLY_LOTTE_QR_PRINTER_v8.3.html embedded PALLET_DATA
# Issues found:
# - Row 177 (Board 177): SKU 'DK9075' missing from ITEM_MASTER - requires user verification
# Note: destLocation may be "TBD" pending binding table from user

sourceId,sku,品名,箱數,件數,國際條碼,上架儲位,來源儲位,效期,趟次,棧板號,入庫單號
LOTTE-20260622-Air_con622_1-001,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0194-0,2027/03/20,Air-con,1,20260622-001
LOTTE-20260622-Air_con622_1-002,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0214-0,2027/03/20,Air-con,2,20260622-002
LOTTE-20260622-Air_con622_1-003,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0234-0,46466,Air-con,3,20260622-003
LOTTE-20260622-Air_con622_1-004,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0254-0,2027/03/20,Air-con,4,20260622-004
LOTTE-20260622-Air_con622_1-005,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0274-0,2027/03/20,Air-con,5,20260622-005
LOTTE-20260622-Air_con622_1-006,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0294-0,2027/03/20,Air-con,6,20260622-006
LOTTE-20260622-Air_con622_1-007,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0295-0,2027/03/20,Air-con,7,20260622-007
LOTTE-20260622-Air_con622_1-008,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0314-0,2027/03/20,Air-con,8,20260622-008
LOTTE-20260622-Air_con622_1-009,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0315-0,2027/03/20,Air-con,9,20260622-009
LOTTE-20260622-Air_con622_1-010,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0334-0,2027/03/18,Air-con,10,20260622-010
LOTTE-20260622-Air_con622_1-011,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0335-0,2027/03/18,Air-con,11,20260622-011
LOTTE-20260622-Air_con622_1-029,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,90,3600,28801062478907,TBD,C05B0025-0,2027/03/20,Air-con,12,20260622-012
LOTTE-20260622-Air_con622_1-030,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0065-0,2027/03/20,Air-con,13,20260622-013
LOTTE-20260622-Air_con622_1-031,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0085-0,2027/03/20,Air-con,14,20260622-014
LOTTE-20260622-Air_con622_1-032,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0104-0,2027/03/20,Air-con,15,20260622-015
LOTTE-20260622-Air_con622_1-033,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0124-0,2027/03/20,Air-con,16,20260622-016
LOTTE-20260622-Air_con622_1-034,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0145-0,2027/03/20,Air-con,17,20260622-017
LOTTE-20260622-Air_con622_1-035,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0164-0,2027/03/20,Air-con,18,20260622-018
LOTTE-20260622-Air_con622_2-012,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0353-0,2027/03/18,Air-con,19,20260622-019
LOTTE-20260622-Air_con622_2-014,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,56,2240,28801062478907,TBD,C05A0512-0,2027/03/27,Air-con,20,20260622-020
LOTTE-20260622-Air_con622_2-015,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0513-0,2027/03/27,Air-con,21,20260622-021
LOTTE-20260622-Air_con622_2-016,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0533-0,2027/03/27,Air-con,22,20260622-022
LOTTE-20260622-Air_con622_2-017,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0553-0,2027/03/27,Air-con,23,20260622-023
LOTTE-20260622-Air_con622_2-018,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0573-0,2027/03/27,Air-con,24,20260622-024
LOTTE-20260622-Air_con622_2-019,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0594-0,2027/03/27,Air-con,25,20260622-025
LOTTE-20260622-Air_con622_2-020,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0615-0,2027/03/27,Air-con,26,20260622-026
LOTTE-20260622-Air_con622_2-021,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05A0734-0,2027/03/27,Air-con,27,20260622-027
LOTTE-20260622-Air_con622_2-036,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,40,1600,28801062478907,TBD,C05B0302-0,2027/03/27,Air-con,28,20260622-028
LOTTE-20260622-Air_con622_2-037,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0342-0,2027/03/27,Air-con,29,20260622-029
LOTTE-20260622-Air_con622_2-038,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0522-0,2027/03/27,Air-con,30,20260622-030
LOTTE-20260622-Air_con622_2-039,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0523-0,2027/03/27,Air-con,31,20260622-031
LOTTE-20260622-Air_con622_2-040,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0543-0,2027/03/27,Air-con,32,20260622-032
LOTTE-20260622-Air_con622_2-041,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0662-0,2027/03/27,Air-con,33,20260622-033
LOTTE-20260622-Air_con622_2-042,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0704-0,2027/03/27,Air-con,34,20260622-034
LOTTE-20260622-Air_con622_2-043,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0705-0,2027/03/27,Air-con,35,20260622-035
LOTTE-20260622-Air_con622_2-044,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,28801062478907,TBD,C05B0723-0,2027/03/27,Air-con,36,20260622-036
LOTTE-20260622-Air_con622_3-013,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0354-0,2027/03/18,Air-con,37,20260622-037
LOTTE-20260622-Air_con622_3-022,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,16,640,58801062636353,TBD,C05A0753-0,2027/04/16,Air-con,38,20260622-038
LOTTE-20260622-Air_con622_3-023,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0754-0,2027/04/16,Air-con,39,20260622-039
LOTTE-20260622-Air_con622_3-024,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0774-0,2027/04/16,Air-con,40,20260622-040
LOTTE-20260622-Air_con622_3-025,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0792-0,2027/04/16,Air-con,41,20260622-041
LOTTE-20260622-Air_con622_3-026,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0793-0,2027/04/16,Air-con,42,20260622-042
LOTTE-20260622-Air_con622_3-027,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0795-0,2027/04/16,Air-con,43,20260622-043
LOTTE-20260622-Air_con622_3-028,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05A0833-0,2027/04/16,Air-con,44,20260622-044
LOTTE-20260622-Air_con622_3-045,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0764-0,2027/04/16,Air-con,45,20260622-045
LOTTE-20260622-Air_con622_3-046,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0765-0,2027/04/16,Air-con,46,20260622-046
LOTTE-20260622-Air_con622_3-047,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0782-0,2027/04/16,Air-con,47,20260622-047
LOTTE-20260622-Air_con622_3-048,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0785-0,2027/04/16,Air-con,48,20260622-048
LOTTE-20260622-Air_con622_3-049,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0802-0,2027/04/16,Air-con,49,20260622-049
LOTTE-20260622-Air_con622_3-050,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0803-0,2027/04/16,Air-con,50,20260622-050
LOTTE-20260622-Air_con622_3-051,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0842-0,2027/04/16,Air-con,51,20260622-051
LOTTE-20260622-Air_con622_3-052,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0862-0,2027/04/16,Air-con,52,20260622-052
LOTTE-20260622-Air_con622_3-053,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0863-0,2027/04/16,Air-con,53,20260622-053
LOTTE-20260622-Air_con622_3-054,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,58801062636353,TBD,C05B0882-0,2027/04/16,Air-con,54,20260622-054
